Category Name,SubCategory Name,Code Name,Interested
beautysvc,Spray Tanning,spraytanning,1
beautysvc,Tanning Beds,tanningbeds,
beautysvc,Tattoo,tattoo,1
beautysvc,Teeth Whitening,teethwhitening,
,,,
bicycles,Bike Associations,bikeassociations,
bicycles,Bike Repair,bikerepair,1
bicycles,Bike Shop,bikeshop,1
bicycles,Special Bikes,specialbikes,
,,,
education,Adult Education,adultedu,
education,Art Classes,artclasses,1
education,Glass Blowing,glassblowing,1
education,College Counseling,collegecounseling,
education,Colleges & Universities,collegeuniv,1
education,Educational Services,educationservices,
education,Elementary Schools,elementaryschools,1
education,Middle Schools & High Schools,highschools,1
education,Montessori Schools,montessori,
education,Preschools,preschools,1
education,Private Schools,privateschools,1
education,Private Tutors,privatetutors,1
education,Religious Schools,religiousschools,
education,Special Education,specialed,
education,Specialty Schools,specialtyschools,1
education,Art Schools,artschools,1
education,Bartending Schools,bartendingschools,1
education,CPR Classes,cprclasses,
education,Cheerleading,cheerleading,
education,Childbirth Education,childbirthedu,
education,Circus Schools,circusschools,
education,Cooking Schools,cookingschools,1
education,Cosmetology Schools,cosmetology_schools,
education,DUI Schools,duischools,
education,Dance Schools,dance_schools,1
education,Drama Schools,dramaschools,1
education,Driving Schools,driving_schools,1
education,Firearm Training,firearmtraining,
education,First Aid Classes,firstaidclasses,
education,Flight Instruction,flightinstruction,
education,Food Safety Training,foodsafety,
education,Language Schools,language_schools,
education,Massage Schools,massage_schools,
education,Nursing Schools,nursingschools,
education,Parenting Classes,parentingclasses,
education,Photography Classes,photoclasses,1
education,Pole Dancing Classes,poledancingclasses,1
education,Samba Schools,sambaschools,
education,Ski Schools,skischools,
education,Speech Training,speechtraining,1
education,Surf Schools,surfschools,
education,Swimming Lessons/Schools,swimminglessons,1
education,Traffic Schools,trafficschools,
education,Vocational & Technical School,vocation,
education,Tasting Classes,tastingclasses,1
education,Cheese Tasting Classes,cheesetastingclasses,
education,Wine Tasting Classes,winetasteclasses,1
education,Test Preparation,testprep,
education,Tutoring Centers,tutoring,
education,Waldorf Schools,waldorfschools,
,,,
eventservices,Balloon Services,balloonservices,1
eventservices,Bartenders,bartenders,1
eventservices,Boat Charters,boatcharters,1
eventservices,Cards & Stationery,stationery,1
eventservices,Caricatures,caricatures,1
eventservices,Caterers,catering,1
eventservices,Clowns,clowns,1
eventservices,DJs,djs,1
eventservices,Face Painting,facepainting,1
eventservices,Floral Designers,floraldesigners,1
eventservices,Game Truck Rental,gametruckrental,1
eventservices,Golf Cart Rentals,golfcartrentals,1
eventservices,Henna Artists,hennaartists,1
eventservices,Hotels,hotels,1
eventservices,Agriturismi,agriturismi,1
eventservices,Mountain Huts,mountainhuts,1
eventservices,Pensions,pensions,1
eventservices,Residences,residences,1
eventservices,Rest Stops,reststops,1
eventservices,Ryokan,ryokan,1
eventservices,Magicians,magicians,1
eventservices,Mohels,mohels,1
eventservices,Musicians,musicians,1
eventservices,Officiants,officiants,1
eventservices,Party & Event Planning,eventplanning,1
eventservices,Party Bike Rentals,partybikerentals,1
eventservices,Party Bus Rentals,partybusrentals,1
eventservices,Party Characters,partycharacters,1
eventservices,Party Equipment Rentals,partyequipmentrentals,1
eventservices,Audio/Visual Equipment Rental,audiovisualequipmentrental,1
eventservices,Bounce House Rentals,bouncehouserentals,1
eventservices,Karaoke Rental,karaokerental,1
eventservices,Party Supplies,partysupplies,1
eventservices,Personal Chefs,personalchefs,1
eventservices,Photo Booth Rentals,photoboothrentals,1
eventservices,Photographers,photographers,1
eventservices,Boudoir Photography,boudoirphotography,1
eventservices,Event Photography,eventphotography,1
eventservices,Session Photography,sessionphotography,1
eventservices,Silent Disco,silentdisco,1
eventservices,Sommelier Services,sommelierservices,1
eventservices,Team Building Activities,teambuilding,1
eventservices,Trivia Hosts,triviahosts,1
eventservices,Valet Services,valetservices,1
eventservices,Venues & Event Spaces,venues,1
eventservices,Videographers,videographers,1
eventservices,Wedding Chapels,weddingchappels,1
eventservices,Wedding Planning,wedding_planning,1
,,,
financialservices,Banks & Credit Unions,banks,1
financialservices,Business Financing,businessfinancing,1
financialservices,Check Cashing/Pay-day Loans,paydayloans,1
financialservices,Currency Exchange,currencyexchange,1
financialservices,Debt Relief Services,debtrelief,1
financialservices,Financial Advising,financialadvising,1
financialservices,Installment Loans,installmentloans,1
financialservices,Insurance,insurance,1
financialservices,Auto Insurance,autoinsurance,1
financialservices,Home & Rental Insurance,homeinsurance,1
financialservices,Life Insurance,lifeinsurance,1
financialservices,Investing,investing,1
financialservices,Mortgage Lenders,mortgagelenders,1
financialservices,Tax Services,taxservices,1
financialservices,Title Loans,titleloans,1
,,,
food,Acai Bowls,acaibowls,1
food,Backshop,backshop,1
food,Bagels,bagels,1
food,Bakeries,bakeries,1
food,"Beer, Wine & Spirits",beer_and_wine,1
food,Bento,bento,1
food,Beverage Store,beverage_stores,1
food,Breweries,breweries,1
food,Brewpubs,brewpubs,1
food,Bubble Tea,bubbletea,1
food,Butcher,butcher,1
food,CSA,csa,1
food,Chimney Cakes,chimneycakes,1
food,Churros,churros,1
food,Cideries,cideries,1
food,Coffee & Tea,coffee,1
food,Coffee & Tea Supplies,coffeeteasupplies,1
food,Coffee Roasteries,coffeeroasteries,1
food,Convenience Stores,convenience,1
food,Cupcakes,cupcakes,1
food,Custom Cakes,customcakes,1
food,Delicatessen,delicatessen,1
food,Desserts,desserts,1
food,Distilleries,distilleries,1
food,Do-It-Yourself Food,diyfood,1
food,Donairs,donairs,1
food,Donuts,donuts,1
food,Empanadas,empanadas,1
food,Ethical Grocery,ethicgrocery,1
food,Farmers Market,farmersmarket,1
food,Fishmonger,fishmonger,1
food,Food Delivery Services,fooddeliveryservices,1
food,Food Trucks,foodtrucks,1
food,Friterie,friterie,1
food,Gelato,gelato,1
food,Grocery,grocery,1
food,Hawker Centre,hawkercentre,1
food,Honey,honey,1
food,Ice Cream & Frozen Yogurt,icecream,1
food,Imported Food,importedfood,1
food,International Grocery,intlgrocery,1
food,Internet Cafes,internetcafe,1
food,Japanese Sweets,jpsweets,1
food,Taiyaki,taiyaki,1
food,Juice Bars & Smoothies,juicebars,1
food,Kiosk,kiosk,1
food,Kombucha,kombucha,1
food,Meaderies,meaderies,1
food,Milkshake Bars,milkshakebars,1
food,Mulled Wine,gluhwein,1
food,Nasi Lemak,nasilemak,1
food,Organic Stores,organic_stores,1
food,Panzerotti,panzerotti,1
food,Parent Cafes,eltern_cafes,1
food,Patisserie/Cake Shop,cakeshop,1
food,Piadina,piadina,1
food,Poke,poke,1
food,Pretzels,pretzels,1
food,Salumerie,salumerie,1
food,Shaved Ice,shavedice,1
food,Shaved Snow,shavedsnow,1
food,Smokehouse,smokehouse,1
food,Specialty Food,gourmet,1
food,Candy Stores,candy,1
food,Cheese Shops,cheese,1
food,Chocolatiers & Shops,chocolate,1
food,Dagashi,dagashi,1
food,Dried Fruit,driedfruit,1
food,Frozen Food,frozenfood,1
food,Fruits & Veggies,markets,1
food,Health Markets,healthmarkets,1
food,Herbs & Spices,herbsandspices,1
food,Macarons,macarons,1
food,Meat Shops,meats,1
food,Olive Oil,oliveoil,1
food,Pasta Shops,pastashops,1
food,Popcorn Shops,popcorn,1
food,Seafood Markets,seafoodmarkets,1
food,Tofu Shops,tofu,1
food,Street Vendors,streetvendors,1
food,Sugar Shacks,sugarshacks,1
food,Tea Rooms,tea,1
food,Torshi,torshi,1
food,Tortillas,tortillas,1
food,Water Stores,waterstores,1
food,Wineries,wineries,1
food,Wine Tasting Room,winetastingroom,1
food,Zapiekanka,zapiekanka,1
,,,
health,Acupuncture,acupuncture,1
health,Alternative Medicine,alternativemedicine,1
health,Animal Assisted Therapy,animalassistedtherapy,1
health,Assisted Living Facilities,assistedliving,1
health,Ayurveda,ayurveda,1
health,Behavior Analysts,behavioranalysts,1
health,Blood & Plasma Donation Centers,blooddonation,1
health,Body Contouring,bodycontouring,1
health,Cannabis Clinics,cannabis_clinics,1
health,Cannabis Tours,cannabistours,1
health,Cannabis Collective,cannabiscollective,1
health,Chiropractors,chiropractors,1
health,Colonics,colonics,1
health,Concierge Medicine,conciergemedicine,1
health,Counseling & Mental Health,c_and_mh,1
health,Psychoanalysts,psychoanalysts,1
health,Psychologists,psychologists,1
health,Psychotherapists,psychotherapists,1
health,Sex Therapists,sextherapists,1
health,Sophrologists,sophrologists,1
health,Sports Psychologists,sportspsychologists,1
health,Crisis Pregnancy Centers,crisispregnancycenters,1
health,Cryotherapy,cryotherapy,1
health,Dental Hygienists,dentalhygienists,1
health,Mobile Clinics,dentalhygienistsmobile,1
health,Storefront Clinics,dentalhygeiniststorefront,1
health,Dentists,dentists,1
health,Cosmetic Dentists,cosmeticdentists,1
health,Endodontists,endodontists,1
health,General Dentistry,generaldentistry,1
health,Oral Surgeons,oralsurgeons,1
health,Orthodontists,orthodontists,1
health,Pediatric Dentists,pediatric_dentists,1
health,Periodontists,periodontists,1
health,Diagnostic Services,diagnosticservices,1
health,Diagnostic Imaging,diagnosticimaging,1
